txn_id,account_id,txn_date,amount,txn_type,channel
500001,2371,2021-07-31,2881.78,Debit,Branch
500002,2829,2022-10-28,1625.53,Debit,ATM
500003,2624,2023-02-01,4998.8,Debit,POS
500004,2690,2025-06-11,2120.18,Credit,POS
500005,2552,2024-09-15,368.87,Debit,ATM
500006,3011,2025-08-15,2172.44,Credit,ATM
500007,3348,2023-05-17,2228.41,Debit,Online
500008,3376,2024-09-11,361.23,Debit,ATM
500009,2683,2019-03-05,1104.12,Debit,ATM
500010,3242,2021-01-07,1976.91,Debit,POS
500011,3042,2025-05-31,1899.59,Credit,ATM
500012,2296,2025-02-15,3638.83,Debit,POS
500013,3192,2022-03-04,7257.2,Debit,POS
500014,2526,2025-05-31,1885.43,Debit,Online
500015,2942,2024-04-16,1970.28,Debit,ATM
500016,3081,2024-07-24,3758.49,Credit,POS
500017,3416,2024-11-22,113.98,Debit,Branch
500018,3423,2024-05-12,954.27,Credit,POS
500019,3204,2023-12-04,1188.89,Debit,POS
500020,2759,2025-03-14,10556.89,Credit,POS
500021,2601,2024-10-08,8948.93,Debit,Branch
500022,2662,2018-08-14,158.37,Debit,Branch
500023,3427,2024-05-13,575.89,Debit,POS
500024,2308,2025-01-21,1764.66,Debit,Branch
500025,2787,2024-06-09,42.04,Credit,Online
500026,3020,2020-05-06,872.19,Credit,ATM
500027,2034,2024-05-18,7154.83,Debit,ATM
500028,2953,2025-07-29,2057.24,Credit,Online
500029,2391,2022-11-01,1270.67,Debit,Online
500030,2421,2024-10-21,1990.68,Debit,ATM
500031,2933,2025-06-20,2867.54,Debit,POS
500032,2014,2023-01-15,2045.6,Debit,ATM
500033,2236,2022-09-17,749.72,Credit,Branch
500034,2683,2018-12-29,1383.16,Debit,POS
500035,2877,2021-05-28,2042.52,Credit,POS
500036,2164,2022-08-13,802.59,Credit,Branch
500037,2543,2025-01-15,88.01,Credit,POS
500038,2462,2024-03-20,2466.84,Debit,POS
500039,2802,2023-03-03,707.23,Credit,Online
500040,2451,2025-08-18,241.78,Credit,ATM
500041,2003,2025-08-12,212.61,Credit,Online
500042,2796,2023-08-17,3433.3,Debit,ATM
500043,3273,2023-09-01,2513.5,Debit,POS
500044,2878,2024-11-25,1651.5,Debit,POS
500045,2543,2023-10-20,3657.08,Credit,ATM
500046,2724,2021-12-24,3131.32,Debit,ATM
500047,2211,2022-02-03,1883.87,Credit,POS
500048,2355,2024-11-02,425.36,Debit,Online
500049,2657,2022-02-01,8701.93,Credit,ATM
500050,2889,2017-07-23,4110.73,Credit,Branch
500051,2730,2022-08-16,2497.26,Debit,POS
500052,3445,2023-03-16,408.24,Debit,Online
500053,2957,2021-03-30,774.78,Debit,Branch
500054,2035,2023-02-04,71.08,Debit,POS
500055,2787,2023-12-28,5898.28,Credit,ATM
500056,2875,2023-09-09,3732.47,Debit,ATM
500057,2066,2024-09-26,207.78,Credit,POS
500058,2578,2025-07-17,2781.93,Credit,Branch
500059,3308,2023-06-05,1995.73,Credit,ATM
500060,2536,2025-03-21,665.4,Debit,POS
500061,2685,2024-09-13,1890.53,Debit,POS
500062,2332,2024-11-10,5069.9,Debit,Online
500063,2116,2022-07-31,1803.23,Debit,Online
500064,2478,2024-07-29,336.84,Credit,Branch
500065,3160,2021-07-17,4070.4,Debit,POS
500066,3475,2023-04-22,1376.55,Credit,POS
500067,2991,2024-04-07,1458.34,Debit,ATM
500068,3247,2023-04-12,6523.08,Credit,ATM
500069,2975,2024-03-18,5517.58,Debit,Online
500070,2989,2025-05-08,513.16,Debit,POS
500071,2641,2023-08-04,183.38,Credit,ATM
500072,2092,2023-11-17,1554.76,Debit,Branch
500073,2616,2024-07-01,595.79,Credit,ATM
500074,3298,2024-05-09,10920.2,Credit,POS
500075,2805,2025-07-20,651.75,Credit,POS
500076,3143,2024-03-12,1274.57,Credit,ATM
500077,2076,2023-06-19,228.96,Credit,ATM
500078,2302,2021-07-26,5309.5,Debit,ATM
500079,2449,2024-07-13,616.44,Credit,Online
500080,2540,2025-02-03,1213.93,Credit,Branch
500081,3482,2023-03-31,1588.93,Credit,POS
500082,2693,2019-07-21,1082.46,Credit,Online
500083,2994,2024-03-16,2301.17,Credit,Branch
500084,2967,2024-02-01,327.21,Debit,POS
500085,2629,2019-07-30,3562.15,Credit,ATM
500086,3450,2025-06-20,2110.36,Debit,Branch
500087,2334,2025-02-19,795.15,Debit,ATM
500088,2052,2024-08-26,549.3,Debit,POS
500089,3118,2024-09-17,1955.73,Debit,Branch
500090,2981,2020-10-15,7839.74,Debit,POS
500091,2391,2025-05-23,1318.77,Credit,Branch
500092,3302,2024-04-02,453.96,Credit,POS
500093,2244,2025-04-10,196.16,Credit,ATM
500094,2377,2025-06-26,1755.62,Credit,Online
500095,2232,2022-12-07,543.49,Debit,POS
500096,2280,2024-12-03,4882.44,Credit,Online
500097,3094,2025-04-24,5315.95,Debit,POS
500098,3056,2024-01-26,161.82,Credit,Online
500099,2965,2022-07-02,1356.75,Credit,POS
500100,3292,2024-07-16,2667.37,Credit,Branch
500101,2105,2025-03-17,621.55,Debit,Online
500102,2931,2023-08-12,1248.54,Debit,Online
500103,2173,2024-11-28,1725.82,Debit,Online
500104,3434,2025-05-03,6803.44,Debit,ATM
500105,2951,2024-05-06,1089.26,Debit,Online
500106,3140,2022-04-28,364.95,Credit,POS
500107,2857,2018-01-15,27.58,Debit,POS
500108,2576,2020-05-17,2909.33,Debit,Branch
500109,3029,2025-02-06,173.89,Credit,Online
500110,3254,2025-05-12,1993.04,Credit,Online
500111,2268,2024-11-01,4153.95,Credit,ATM
500112,3308,2023-03-22,824.67,Credit,POS
500113,3090,2025-05-27,2521.0,Debit,POS
500114,2129,2022-12-02,3668.96,Credit,Online
500115,3405,2024-03-24,2145.86,Debit,ATM
500116,2271,2023-02-14,314.27,Credit,Online
